Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2016,Música,"Ajuntament de Barcelona",Festivals,14,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",4/11/2016,26/11/2016,1237,,"Centre Cívic Besos","Centre Cívic Besòs",
2016,Música,"Titularitat privada",Festivals,5,"(Parèntesi) by AMFest",3/11/2016,5/11/2016,1800,,"Sala Apolo i La (2)","Assoc. AMF",
2016,"Arts visuals","Titularitat privada",Festivals,7,"48H Open House BCN",22/10/2016,23/10/2016,60641,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2016,Música,Mixta,Festivals,5,"9B in Black. Festival de Música Negra de Nou Barris",13/2/2016,10/3/2016,1500,,"Diversos espais de la ciutat","Casal de Barri Prosperitat, Casal de Joves Prosperitat i Ateneu Popular 9Barris",
2016,"Multidisciplinaris i altres","Consorci o fundació amb presència administracions públiques",Festivals,1,"Africalisme al CCCB",12/8/2016,26/8/2016,2388,,CCCB,CCCB,
2016,Audiovisuals,"Titularitat privada",Festivals,3,"Americana Film Fest",3/3/2016,6/3/2016,5200,,"Diversos espais de la ciutat","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2016,Audiovisuals,"Titularitat privada",Festivals,2,"Arqu [in] FILM",10/6/2016,17/6/2016,399,,"Filmoteca de Catalunya",ARQ-INFAD,
2016,"Arts visuals","Titularitat privada",Festivals,3,"Art Photo BCN",27/5/2016,28/5/2016,2600,,"Diversos espais de la ciutat","Isabel Lazaro",
2016,Lletres,"Titularitat privada",Fires,7,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",20/4/2016,24/4/2016,10000,,"Arts Santa Mònica  ","Raíña Lupa Produccions",
2016,Audiovisuals,"Titularitat privada",Festivals,2,"B-Anime Film Festival",1/10/2016,2/10/2016,10000,,"Diversos espais de la ciutat","Mago Experience",
2016,Música,"Titularitat privada",Festivals,4,Bachcelona,21/7/2016,26/7/2016,5000,,"Diversos espais de la ciutat","Fundació BZM",
2016,Música,"Titularitat privada",Festivals,3,"BalkaBarna Festival",8/5/2016,8/5/2016,1400,,"Antiga Fàbrica Estrella Damm","Asociación BalkaBarna, Dinamita Balkana y Balkan Party",
2016,Música,"Ajuntament de Barcelona",Festivals,24,"BAM. Barcelona Acció Musical",22/9/2016,25/9/2016,56950,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2016,"Arts escèniques","Titularitat privada",Festivals,6,"Barcelona Burlesque Festival",1/6/2016,12/6/2016,2100,,"El Molino ","Ociopuro, SL",
2016,"Arts visuals","Titularitat privada",Festivals,11,"Barcelona Design Week City Festival",2/6/2016,12/6/2016,12000,,"Diversos espais de la ciutat","Barcelona Centre del Disseny",
