Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2019,Música,"Ajuntament de Barcelona",Festivals,17,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",4/11/2019,30/11/2019,,,"Centre Cívic Besos","Centre Cívic Besòs",
2019,Música,"Titularitat privada",Festivals,8,"(Parèntesi) by AMFest",10/10/2019,13/10/2019,4000,,"Fabra i Coats: Fàbrica de Creació","Assoc. AMF",
2019,"Arts visuals","Titularitat privada",Festivals,10,"48H Open House BCN",26/10/2019,27/10/2019,52140,9611,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2019,Música,"Titularitat privada",Festivals,,"Acoustic Pomelo",12/7/2019,23/8/2019,,,"Poble Espanyol",.,
2019,"Arts escèniques","Titularitat privada",Festivals,3,"Africa Moment",5/12/2019,15/12/2019,1500,,"Diversos espais de la ciutat","Africa moment",
2019,Música,"Titularitat privada",Festivals,1,"Afrobeats Barcelona Festival",12/7/2019,12/7/2019,,,"Sala Apolo",.,
2019,Audiovisuals,"Titularitat privada",Festivals,6,"Americana Film Fest",5/3/2019,10/3/2019,9728,2642,"Cinemes Girona","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2019,Audiovisuals,"Titularitat privada",Festivals,3,Animayo,1/2/2019,2/2/2019,3300,,"CaixaForum Barcelona","Damian Perea Producciones S.L.",
2019,Audiovisuals,"Titularitat privada",Festivals,5,"Arqu [in] FILM",9/5/2019,12/5/2019,534,,"Filmoteca de Catalunya",ARQ-INFAD,
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,13,ARQUINSET,1/10/2019,4/12/2019,240,,"Disseny HUB Barcelona",ARQ-INFAD,
2019,"Arts visuals","Titularitat privada",Festivals,6,"Art Photo BCN",29/3/2019,1/6/2019,2500,,"Arts Santa Mònica","Isabel Lazaro",
2019,Lletres,"Titularitat privada",Fires,10,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",25/4/2019,28/4/2019,10000,,"Diversos espais de la ciutat","Raíña Lupa Produccions",
2019,Audiovisuals,"Titularitat privada",Festivals,7,"Asian Film Festival",30/10/2019,10/11/2019,8374,,"Cinemes Girona ","Casa Àsia",
2019,Audiovisuals,"Titularitat privada",Festivals,9,"Atlàntida Film Fest ",23/7/2019,25/7/2019,235,,"Centre d'art contemporani Piramidón",Filmin,
2019,Música,"Titularitat privada",Festivals,7,Bachcelona,16/7/2019,21/7/2019,3600,,"Palau de la Música Catalana","Fundació BZM",
