Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2017,Música,"Ajuntament de Barcelona",Festivals,15,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",3/11/2017,25/11/2017,,,"Centre Cívic Besos","Centre Cívic Besòs",
2017,Música,"Titularitat privada",Festivals,6,"(Parèntesi) by AMFest",26/10/2017,28/10/2017,1300,,Apolo,"Assoc. AMF",
2017,"Arts visuals","Titularitat privada",Festivals,8,"48H Open House BCN",21/10/2017,22/10/2017,65013,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2017,Música,Mixta,Festivals,6,"9B in Black. Festival de Música Negra de Nou Barris",25/3/2017,6/4/2017,,,"Diversos espais de la ciutat","Casal de Barri Prosperitat, Casal de Joves Prosperitat i Ateneu Popular 9Barris",
2017,"Arts escèniques","Titularitat privada",Festivals,1,"Africa Moment",25/5/2017,3/6/2017,1000,,"Diversos espais de la ciutat","Africa moment",
2017,Audiovisuals,"Titularitat privada",Festivals,4,"Americana Film Fest",28/2/2017,5/3/2017,6128,,"Diversos espais de la ciutat","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2017,Audiovisuals,"Titularitat privada",Festivals,1,Animayo,13/1/2017,14/1/2017,1622,,"CaixaForum Barcelona","Damian Perea Producciones S.L.",
2017,Audiovisuals,"Titularitat privada",Festivals,3,"Arqu [in] FILM",19/5/2017,21/5/2017,442,,"Filmoteca de la Generalitat",ARQ-INFAD,
2017,"Arts visuals","Titularitat privada",Festivals,4,"Art Photo BCN",4/5/2017,7/5/2017,1656,,"Fundació Enrique Miralles","Isabel Lazaro",
2017,Lletres,"Titularitat privada",Fires,8,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",21/4/2017,23/4/2017,10000,,"Arts Santa Mònica","Raíña Lupa Produccions",
2017,Audiovisuals,"Titularitat privada",Festivals,5,"Asian Film Festival",2/11/2017,12/11/2017,6300,,"Diversos espais de la ciutat","Casa Àsia",
2017,Audiovisuals,"Titularitat privada",Festivals,3,"B-Anime Film Festival",2/12/2017,3/12/2017,2000,,"Disseny Hub Barcelona","Mago Experience",
2017,Música,"Titularitat privada",Festivals,5,Bachcelona,19/7/2017,25/7/2017,2500,,"Diversos espais de la ciutat","Fundació BZM",
2017,Música,"Ajuntament de Barcelona",Festivals,25,"BAM. Barcelona Acció Musical",22/9/2017,25/9/2017,70990,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Arts escèniques","Titularitat privada",Festivals,7,"Barcelona Burlesque Festival",1/6/2017,2/7/2017,,,,"Ociopuro, SL",
2017,"Arts visuals","Titularitat privada",Festivals,12,"Barcelona Design Week City Festival",6/6/2017,14/6/2017,,,,"Barcelona Centre del Disseny",
2017,"Arts visuals","Ajuntament de Barcelona",Festivals,8,"Barcelona Dibuixa",22/10/2017,22/10/2017,12320,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,1,"Barcelona Districte Cultural",5/5/2017,1/7/2017,2757,,"10 centres cívics de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,2,"Barcelona Districte Cultural",6/10/2017,21/12/2017,8783,,"13 centres cívics de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,Música,"Titularitat privada",Festivals,13,"Barcelona Festival of Song",25/6/2017,5/7/2017,1850,,"Diversos espais de la ciutat","Patricia Caicedo",
2017,"Arts visuals","Titularitat privada",Festivals,3,"Barcelona Gallery Weekend",28/9/2017,1/10/2017,,,"Diverses galeries de la ciutat","Art Barcelona",
2017,Lletres,"Ajuntament de Barcelona",Festivals,5,"Barcelona Novel·la Històrica",2/11/2017,22/11/2017,1559,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,Lletres,"Ajuntament de Barcelona",Festivals,20,"Barcelona Poesia",10/5/2017,16/5/2017,7580,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,5,"Barcelona Surf Festival ",5/7/2017,7/7/2017,,,"Jardins Baluard","AGÈNCIA DIVE",
2017,Música,"Titularitat privada",Festivals,22,BarnaSants,14/1/2017,14/4/2017,8842,,"Diversos espais de la ciutat","Assoc. Promotora de la Fundació Autoria",
2017,"Arts escèniques","Titularitat privada",Festivals,14,BarriBrossa,10/5/2017,16/5/2017,322,,"Diversos espais de la ciutat","La Seca Espai Brossa",
2017,Audiovisuals,"Ajuntament de Barcelona",Festivals,8,"BCN Sports Film",8/5/2017,12/5/2017,2024,,"Diversos espais de la ciutat","Fundació Barcelona Olímpica",
2017,Lletres,"Ajuntament de Barcelona",Festivals,12,"BCNegra. Trobada de Novel·la Negra de Barcelona",26/1/2017,4/2/2017,7875,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,Música,"Titularitat privada",Festivals,4,"Be Prog! My friend",30/6/2017,1/7/2017,3315,,"Poble Espanyol","Madness Live Productions",
2017,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,3,Bibliocurts,20/11/2017,1/12/2017,553,,"Biblioteca Sant Gervasi - Joan Maragall","Biblioteques de Barcelona",
2017,Música,"Titularitat privada",Festivals,,"BIS Festival",3/11/2017,4/11/2017,,,"Diversos espais de la ciutat","BIS. Barcelona Independent Sessions",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"Brunch-in the City",11/3/2017,17/9/2017,147881,,"Poble Espanyol i Jardins Joan Brossa","Grup Centris",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,2,"Busker Rai, Festival Mediterrani d'artistes al carrer",27/7/2017,29/7/2017,4125,,"Places deel barri de la Rivera","Recursos d'Animació Intercultural, RAI",
2017,Música,"Ajuntament de Barcelona",Festivals,2,"Caliu, cicle de música d'hivern",21/1/2017,11/3/2017,224,,"Centre cultural la Farinera del Clot","Centre Cultural La Farinera del Clot",
2017,Audiovisuals,"Titularitat privada",Festivals,5,"Choreoscope Barcelona Dance Film Festival",7/11/2017,19/11/2017,,,"La Filmoteca i Arts Santa Mònica","Assoc. Choreoscope",
2017,Audiovisuals,"Titularitat privada",Festivals,1,"Cinema Lliure a la Biblioteca",1/2/2017,27/3/2017,360,,"Biblioteques de Barcelona","Mago Audiovisual Production",
2017,Audiovisuals,"Titularitat privada",Festivals,6,"Cinema Lliure a la Platja. Mostra de cinema independent",29/6/2017,3/8/2017,14000,,"Platja de Sant Sebastià-Barceloneta","Mago Audiovisual Production",
2017,Audiovisuals,"Titularitat privada",Festivals,4,CineMigrante,3/10/2017,8/10/2017,1836,,"Diversos espais de la ciutat","Colectiu Cine Migrante i Fundació Guné",
2017,"Arts escèniques","Ajuntament de Barcelona",Festivals,18,Circorts,29/9/2017,1/10/2017,,,,"Ajuntament de Barcelona",
2017,Música,"Titularitat privada",Festivals,24,"Ciutat Flamenco",19/5/2017,28/5/2017,2606,,"Diversos espais de la ciutat","Taller de Músics",
2017,Lletres,"Titularitat privada",Fires,35,"Còmic Barcelona",30/3/2017,2/4/2017,118000,,"Fira de Barcelona",Ficòmic,
2017,Lletres,"Titularitat privada",Festivals,9,"Como Pedro por mi casa",4/2/2017,5/2/2017,,,CCCB,"Julia Pelletier",
2017,Música,"Titularitat privada",Festivals,6,Connexions,5/10/2017,21/10/2017,3212,,"Diversos espais de la ciutat","Taller de Músics",
2017,Audiovisuals,"Titularitat privada",Festivals,5,"Cortos con K Festival. Festival de Cortometrajes de Terror Fantástico",30/6/2017,1/7/2017,,,,"Klownsasesinos i Espiga de les Corts",
2017,Audiovisuals,"Titularitat privada",Festivals,1,"Craft Film Festival Barcelona",7/4/2017,9/4/2017,417,,"Cinemes Girona","Asociación Art Attack Acción para las Artes Visuales",
2017,Audiovisuals,"Titularitat privada",Festivals,7,"D'A Film Festival Barcelona",27/4/2017,7/5/2017,15000,,"Diversos espais de la ciutat",Noucinemart,
2017,"Arts escèniques","Titularitat privada",Festivals,7,"Dansa Ara",19/10/2017,23/11/2017,345,,"La Pedrera","Fundació Catalunya - La Pedrera",
2017,"Arts visuals","Titularitat privada",Festivals,1,"DART- Festival de Cinema Documental ",30/11/2017,3/12/2017,1300,,"Cinemes Girona","Assoc. Cultural Dart",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,6,"DAU Barcelona",17/11/2017,26/11/2017,23240,,,"Institut de Cultura. Ajuntament de Barcelona",
2017,Música,"Titularitat privada",Festivals,3,"DGTL Festival",11/8/2017,12/8/2017,,,"Parc del Fòrum","Grup Centris",
2017,Audiovisuals,"Titularitat privada",Festivals,14,"Diàspora. Mostra de Cinema Colombià",19/10/2017,29/10/2017,2119,,"Diversos espais de la ciutat","Imago Gestiona",
2017,Música,"Titularitat privada",Festivals,12,"Divendres Corals del Barcelonès",17/2/2017,24/3/2017,400,,"Capella de l'Esperança de Barcelona","Federació Catalana d'Entitats Corals",
2017,"Arts visuals","Titularitat privada",Festivals,5,"DOCfield. Festival de Fotografia Documental",19/10/2017,30/11/2017,142000,,"Diversos espais de la ciutat","Photographic Social Vision",
2017,Audiovisuals,"Titularitat privada",Festivals,20,DocsBarcelona,18/5/2017,28/5/2017,12900,,"CCCB i Cinemes Aribau","Paral·lel 40",
2017,"Arts visuals","Titularitat privada",Festivals,21,"Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya",3/11/2017,26/11/2017,10000,,"Diversos espais de la ciutat",Drap-Art,
2017,Música,"Titularitat privada",Festivals,20,"EH SONA! Festival de Música Basca a Barcelona",26/10/2017,1/12/2017,,,"Diversos espais de la ciutat","Centre Cultural Euskal Etxea Barcelona",
2017,Audiovisuals,"Titularitat privada",Festivals,5,"El dia més curt",23/12/2017,23/12/2017,683,,CCCB,"Martin & Wayne",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,5,"El Dia Minimúsica",2/4/2017,2/4/2017,4000,,"Poble Espanyol","Minimúsica ",
2017,Audiovisuals,"Titularitat privada",Festivals,1,"El Low Cost Film Festival",10/2/2017,12/2/2017,,,"Palau Alos i Casal de barri Pou de la Figuera",.,
2017,Audiovisuals,"Titularitat privada",Festivals,10,"El Meu Primer Festival",11/11/2017,26/11/2017,13109,,"Diversos espais de la ciutat","Assoc. Isla Elefante Projectes Culturals",
2017,Música,"Altres administracions públiques",Festivals,12,"Els vespres a la UB",4/7/2017,20/7/2017,2000,,"Jardins Ferran Soldevila de l'Edifici Històric de la Universitat de Barcelona","Universitat de Barcelona",
2017,Música,"Altres administracions públiques",Festivals,2,"Els vespres d'hivern",2/3/2017,24/3/2017,1500,,"Paranimf de l'edifici històric de la  Universitat de Barcelona","Universitat de Barcelona",
2017,Música,"Consorci o fundació amb presència administracions públiques",Festivals,9,Emergència!,11/3/2017,11/3/2017,904,,CCCB,CCCB,
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,7,Endorfines,29/6/2017,13/7/2017,400,,"Centre cultural la Farinera del Clot","Centre Cultural La Farinera del Clot + Punt d¿Informació i Atenció a les Dones de Sant Martí",
2017,"Arts visuals","Ajuntament de Barcelona",Festivals,8,Enfocats,4/5/2017,27/5/2017,,,"Centre Cívic Pati Llimona","Centre Cívic Pati Llimona",
2017,"Arts escèniques","Titularitat privada",Festivals,16,"Escena Poblenou",19/10/2017,22/10/2017,4000,,"Diversos espais de la ciutat","Assoc. Festival de Creació Contemporània Poblenou",
2017,"Arts escèniques","Titularitat privada",Festivals,1,"Escenes de Filosofia i Teatre",26/10/2017,28/10/2017,,,"Biblioteca de Catalunya","La Maleta de Portbou i La Perla29",
2017,"Arts visuals","Titularitat privada",Festivals,4,"European Creativity Festival",9/11/2017,11/11/2017,270,,"Disseny Hub Barcelona i El Molino","Arts Directors Club of Europe (ADCE)",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,7,"FADfest. The festival of all design",27/6/2017,2/7/2017,14000,,"Diversos espais de la ciutat",FAD,
2017,"Arts visuals","Titularitat privada",Festivals,24,"Fem Art",6/10/2017,28/10/2017,560,,"Ca La Dona","Col·lectiu FemArt",
2017,Lletres,"Titularitat privada",Festivals,3,"Festival Alcools",14/2/2017,20/3/2017,470,,"Sala Beckett","Sala Becket i Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes",
2017,Audiovisuals,"Titularitat privada",Festivals,8,"Festival Antic Horror Picture Show",31/10/2017,31/10/2017,70,,"Antic Teatre","Antic Teatre i Guillem Puig",
