Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2018,Música,"Ajuntament de Barcelona",Festivals,16,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",9/11/2018,30/11/2018,,,"Centre Cívic Besos","Centre Cívic Besòs",
2018,Música,"Titularitat privada",Festivals,7,"(Parèntesi) by AMFest",12/10/2018,14/10/2018,3500,,"Fabra i Coats. Fàbrica de Creació ","Assoc. AMF",
2018,"Arts visuals","Titularitat privada",Festivals,9,"48H Open House BCN",27/10/2018,28/10/2018,60191,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2018,"Arts escèniques","Titularitat privada",Festivals,2,"Africa Moment",24/5/2018,2/6/2018,,,"Diversos espais de la ciutat","Africa moment",
2018,Audiovisuals,"Titularitat privada",Festivals,5,"Americana Film Fest",6/3/2018,11/3/2018,7000,,"Diversos espais de la ciutat","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2018,Audiovisuals,"Titularitat privada",Festivals,13,Animayo,16/2/2018,17/2/2018,2623,,"CaixaForum Barcelona","Damian Perea Producciones S.L.",
2018,Audiovisuals,"Titularitat privada",Festivals,4,"Arqu [in] FILM",18/5/2018,20/5/2018,450,,"Filmoteca de la Generalitat",ARQ-INFAD,
2018,"Arts visuals","Titularitat privada",Festivals,5,"Art Photo BCN",4/5/2018,6/5/2018,1687,,"Antiga Massana","Isabel Lazaro",
2018,Lletres,"Titularitat privada",Fires,9,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",21/4/2018,23/4/2018,8500,,"Arts Santa Mònica","Raíña Lupa Produccions",
2018,Audiovisuals,"Titularitat privada",Festivals,6,"Asian Film Festival",31/10/2018,11/11/2018,6080,,"Diversos espais de la ciutat","Casa Àsia",
2018,Audiovisuals,"Titularitat privada",Festivals,4,"B-Anime Film Festival",15/11/2018,18/11/2018,,,"Disseny Hub Barcelona","Mago Experience",
2018,Música,"Titularitat privada",Festivals,6,Bachcelona,19/7/2018,24/7/2018,,,"Diversos espais de la ciutat","Fundació BZM",
2018,Música,"Ajuntament de Barcelona",Festivals,26,"BAM. Barcelona Acció Musical",21/9/2018,24/9/2018,79438,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2018,"Arts visuals","Titularitat privada",Festivals,13,"Barcelona Design Week City Festival",5/6/2018,14/6/2018,43000,,"Diversos espais de la ciutat","Barcelona Centre del Disseny",
