iter	Logloss
0	0.6612391985
1	0.6381251854
2	0.6160301247
3	0.5992379385
4	0.5824145299
5	0.5682406974
6	0.5568724979
7	0.5468131419
8	0.5371762891
9	0.5282977201
10	0.5219532263
11	0.5162659043
12	0.5110741972
13	0.5061987149
14	0.5027064655
15	0.4998299987
16	0.4974208688
17	0.4940566204
18	0.4923422738
19	0.4893705284
20	0.4874355134
21	0.4856522217
22	0.4840570982
23	0.482299529
24	0.4809642964
25	0.4796190637
26	0.4781773303
27	0.4768803202
28	0.4761074253
29	0.4751948626
30	0.4741093542
31	0.4725972313
32	0.4713397771
33	0.4703379915
34	0.4690657594
35	0.4684118654
36	0.4676302482
37	0.4669221872
38	0.4661419033
39	0.46542262
40	0.4649082826
41	0.4644288622
42	0.463613217
43	0.4632073805
44	0.4626887098
45	0.4622657065
46	0.4614883394
47	0.4610332803
48	0.4605067484
49	0.4595652411
50	0.4588814024
51	0.4584582325
52	0.4577228656
53	0.4570541104
54	0.4566794408
55	0.4561134364
56	0.4556985165
57	0.4552447908
58	0.4547438147
59	0.4543966731
60	0.4540253091
61	0.4536817786
62	0.4530433292
63	0.4527365768
64	0.4521497389
65	0.451843681
66	0.4514607336
67	0.4511987871
68	0.4508849791
69	0.4504931705
70	0.45013764
71	0.4496549418
72	0.4493077724
73	0.449020659
74	0.4483985987
75	0.4479322061
76	0.4471759503
77	0.4471221998
78	0.4469406984
79	0.4463200269
80	0.446129581
81	0.4457952173
82	0.4456507717
83	0.4453588528
84	0.4451592957
85	0.4447922095
86	0.4445652355
87	0.4440092312
88	0.4439188971
89	0.4431786414
90	0.4426454984
91	0.4422069949
92	0.4420807717
93	0.441786325
94	0.4414395445
95	0.4410789306
96	0.4398964492
97	0.4393533894
98	0.4389371917
99	0.4386499673
