iter	RMSE
0	1.063722561
1	0.961270292
2	0.8813859483
3	0.8155229999
4	0.7577241492
5	0.7220780963
6	0.690350123
7	0.6641799746
8	0.6396877408
9	0.6189371043
10	0.6038032977
11	0.5885467156
12	0.5767136194
13	0.5652236709
14	0.5579143605
15	0.5495118747
16	0.5384469526
17	0.531659615
18	0.5212299814
19	0.5127698701
20	0.5062482341
21	0.5002894547
22	0.4972300642
23	0.4913062849
24	0.4861481631
25	0.4797372202
26	0.4745744887
27	0.4690031145
28	0.463950561
29	0.4605813072
30	0.4561367581
31	0.4520599934
32	0.4490105575
33	0.4438915689
34	0.4400396866
35	0.4358312866
36	0.4339645886
37	0.4312150488
38	0.4280984888
39	0.4251636883
40	0.4223849976
41	0.4196695352
42	0.4170391096
43	0.4144532316
44	0.4124914473
45	0.408641023
46	0.4062221921
47	0.4038429589
48	0.4022194439
49	0.3989566978
50	0.3964329757
51	0.3937194593
52	0.3913154264
53	0.3893926085
54	0.3868777528
55	0.3847337786
56	0.381832031
57	0.3796643132
58	0.3780736746
59	0.3757262058
60	0.3733563743
61	0.3714810912
62	0.3691820379
63	0.367313905
64	0.3658375594
65	0.3638585379
66	0.3627687487
67	0.3609361675
68	0.3594639145
69	0.3574048138
70	0.3556760316
71	0.3534909901
72	0.3516708479
73	0.3504338571
74	0.34859771
75	0.3472379614
76	0.346046005
77	0.3454158913
78	0.3444015717
79	0.343243308
80	0.3418878248
81	0.3406354625
82	0.3394246243
83	0.3389851859
84	0.3374300694
85	0.3372948592
86	0.3355353023
87	0.3344522007
88	0.3335487748
89	0.3325187923
90	0.3314835835
91	0.3303503626
92	0.3292496678
93	0.3276042412
94	0.326989194
95	0.3268259737
96	0.3258816898
97	0.3257787567
98	0.3239132254
99	0.3229177189
100	0.3216479637
101	0.3215492519
102	0.3202639061
103	0.3192270937
104	0.317842123
105	0.3165617195
106	0.3155247421
107	0.3144338703
108	0.3135332758
109	0.3133505425
110	0.3127045958
111	0.3125276441
112	0.3116113269
113	0.3104852653
114	0.309565499
115	0.3082530691
116	0.3071680624
117	0.3059963457
118	0.3053807161
119	0.3042830844
120	0.3034376666
121	0.3027402796
122	0.302117398
123	0.3011123928
124	0.3006080496
125	0.2997830476
126	0.299727864
127	0.2991553745
128	0.2981790689
129	0.2972556143
130	0.2965285693
131	0.2959753559
132	0.2955955655
133	0.2950507488
134	0.2941337562
135	0.2936368235
136	0.2929421697
137	0.2920776416
138	0.2910181761
139	0.290259661
140	0.2896218907
141	0.2887620137
142	0.288207389
143	0.2874676014
144	0.2865203266
145	0.2860132252
146	0.2850777625
147	0.2843589195
148	0.2843063357
149	0.2836492369
