iter	Passed	Remaining
0	2	436
1	5	400
2	7	382
3	10	371
4	12	358
5	14	357
6	17	348
7	19	345
8	21	340
9	24	336
10	26	331
11	28	325
12	30	321
13	32	318
14	35	322
15	38	320
16	40	318
17	43	316
18	45	312
19	47	308
20	49	306
21	52	305
22	54	302
23	57	301
24	59	297
25	61	294
26	63	290
27	66	289
28	68	287
29	70	283
30	73	281
31	75	278
32	77	274
33	79	272
34	82	270
35	84	268
36	86	265
37	89	262
38	91	261
39	94	258
40	96	256
41	99	255
42	101	253
43	104	250
44	106	247
45	108	244
46	110	242
47	113	241
48	116	239
49	118	236
50	120	233
51	122	230
52	124	227
53	126	224
54	129	223
55	131	221
56	134	218
57	136	216
58	138	214
59	141	211
60	144	210
61	146	207
62	148	205
63	151	203
64	152	200
65	155	197
66	156	194
67	159	192
68	161	190
69	164	187
70	166	185
71	168	182
72	170	180
73	172	177
74	175	175
75	177	173
76	180	171
77	183	168
78	185	166
79	187	164
80	190	162
81	193	160
82	195	158
83	197	155
84	200	152
85	201	150
86	204	147
87	206	145
88	208	143
89	211	140
90	213	138
91	215	135
92	217	133
93	219	130
94	221	128
95	224	126
96	226	123
97	228	121
98	230	118
99	232	116
100	234	113
101	236	111
102	239	109
103	241	106
104	244	104
105	246	102
106	248	99
107	250	97
108	252	95
109	255	92
110	257	90
111	259	88
112	261	85
113	263	83
114	265	80
115	268	78
116	270	76
117	272	73
118	274	71
119	276	69
120	278	66
121	280	64
122	282	62
123	285	59
124	287	57
125	289	55
126	291	52
127	293	50
128	295	48
129	297	45
130	299	43
131	302	41
132	304	38
133	306	36
134	308	34
135	310	31
136	312	29
137	314	27
138	317	25
139	319	22
140	321	20
141	323	18
142	325	15
143	327	13
144	329	11
145	331	9
146	333	6
147	335	4
148	337	2
149	339	0
