iter	Logloss
0	0.6898298842
1	0.6866459533
2	0.6834375004
3	0.67991712
4	0.676523198
5	0.6738259668
6	0.6708206072
7	0.6678284635
8	0.6635575742
9	0.6606485536
10	0.6574579971
11	0.6540307698
12	0.6503301926
13	0.6476816382
14	0.644399524
15	0.640938057
16	0.6381279548
17	0.6356100943
18	0.6329056599
19	0.6300007933
20	0.6264549409
21	0.6240825974
22	0.6215564939
23	0.6193726668
24	0.6167176222
25	0.6139918282
26	0.6111614999
27	0.6087945499
28	0.6056278832
29	0.6025343325
30	0.6001975818
31	0.5971891318
32	0.5947354383
33	0.5924689448
34	0.5907034666
35	0.5877511686
36	0.585835473
37	0.5833497483
38	0.5810345509
39	0.5787272889
40	0.576910675
41	0.5745836402
42	0.5724354201
43	0.5698376205
44	0.5674893205
45	0.5654543504
46	0.5634535828
47	0.5620997599
48	0.5603475929
49	0.5580978991
50	0.5561711696
51	0.554406495
52	0.5527328587
53	0.5503363264
54	0.5487299433
55	0.546869442
56	0.5451707742
57	0.5427750425
58	0.5409879416
59	0.539131928
60	0.5374328697
61	0.5359804506
62	0.5339924609
63	0.5320577766
64	0.5308975773
65	0.5290585299
66	0.5276393943
67	0.5259463216
68	0.524369472
69	0.5228041888
70	0.521503726
71	0.5199018985
72	0.5185194294
73	0.5173111782
74	0.5158012017
75	0.5147685397
76	0.5138544998
77	0.5125721222
78	0.5108077035
79	0.5094883952
80	0.5080132015
81	0.5068422278
82	0.5053206177
83	0.5042073526
84	0.5029923327
85	0.5016553731
86	0.5002893399
87	0.4989389554
88	0.4974830766
89	0.4959328138
90	0.4944294818
91	0.4933832942
92	0.4921463906
93	0.4911918404
94	0.4897827407
95	0.4885936955
96	0.4873524731
97	0.4858736418
98	0.484717482
99	0.4834406963
100	0.4822044703
101	0.4806273565
102	0.4795055774
103	0.4782489637
104	0.4773571131
105	0.4760921733
106	0.4751954533
107	0.4739290104
108	0.4724272785
109	0.4713139693
110	0.4703938853
111	0.4693450413
112	0.4684987161
113	0.467545906
114	0.4663756921
115	0.4651687655
116	0.4644142375
117	0.4634134621
118	0.4620768106
119	0.4611334123
120	0.4600493
121	0.4588895507
122	0.457771307
123	0.4568863113
124	0.455810211
125	0.4549285994
126	0.4539916531
127	0.4529980873
128	0.4520955457
129	0.4509820227
130	0.4500619246
131	0.448462
132	0.4476278316
133	0.4468463516
134	0.446126446
135	0.4453566506
136	0.4443974619
137	0.4435583736
138	0.4429524547
139	0.4421036721
140	0.4407990192
141	0.439532753
142	0.43861633
143	0.4381592083
144	0.4372063808
145	0.4364276348
146	0.4357746239
147	0.4348805515
148	0.4339959452
149	0.4332809731
150	0.4324748156
151	0.4317456342
152	0.431038076
153	0.4300114148
154	0.4293229401
155	0.4285060225
156	0.4276172817
157	0.4267307784
158	0.4260901922
159	0.4252673753
160	0.424462867
161	0.423690136
162	0.4228450646
163	0.4220705072
164	0.4213328112
165	0.4206844651
166	0.420046695
167	0.4194003532
168	0.418882485
169	0.4180006753
170	0.4172036187
171	0.4166228518
172	0.4158755253
173	0.4153734733
174	0.4146389889
175	0.4140861724
176	0.4132592567
177	0.4124799935
178	0.4118939317
179	0.4115134301
180	0.4107779738
181	0.4101629855
182	0.4096043592
183	0.4090240766
184	0.4083580397
185	0.4076367848
186	0.406864788
187	0.4063042091
188	0.4055161639
189	0.4048296115
190	0.4042682248
191	0.403572311
192	0.4028139895
193	0.4024483778
194	0.4019150408
195	0.4014865596
196	0.4009879642
197	0.400292642
198	0.3997834833
199	0.3992571799
200	0.3984590074
201	0.3979532101
202	0.3971851703
203	0.3967117066
204	0.3962537242
205	0.3954772998
206	0.3949980637
207	0.3944537366
208	0.3939319719
209	0.3933944986
210	0.3927619929
211	0.3921106029
212	0.3914303738
213	0.3908778233
214	0.3904976216
215	0.3899577224
216	0.389242844
217	0.3885767134
218	0.3879248252
219	0.387345283
220	0.3867817634
221	0.3863235107
222	0.3859673217
223	0.385357126
224	0.3849411896
225	0.3841142671
226	0.3837422828
227	0.3835329349
228	0.3829616654
229	0.3824700164
230	0.3819103788
231	0.3812854104
232	0.3806560475
233	0.3803181006
234	0.3797000173
235	0.3792272257
236	0.3787668455
237	0.3780869882
238	0.3776020805
239	0.3772746231
240	0.3767142589
241	0.376142427
242	0.3758302403
243	0.3752480738
244	0.3745314255
245	0.3738204185
246	0.3733020437
247	0.3728477773
248	0.3724377617
249	0.3718283478
250	0.3712082609
251	0.3706216828
252	0.3703014658
253	0.3697993359
254	0.3693876967
255	0.3689034231
256	0.3683760547
257	0.3680556044
258	0.3676908023
259	0.3673160239
260	0.3668403826
261	0.3663145097
262	0.3658253435
263	0.3656416632
264	0.3653064294
265	0.3648192167
266	0.3642721906
267	0.3638470816
268	0.3634738852
269	0.3629944625
270	0.3626408798
271	0.3623816444
272	0.361912317
273	0.3614885194
274	0.361094034
275	0.3606275002
276	0.3602066746
277	0.3598608093
278	0.3591860116
279	0.3587415947
280	0.3583668741
281	0.3579024673
282	0.3575748479
283	0.3572075134
284	0.3568610273
285	0.3563317733
286	0.3559272398
287	0.3555392981
288	0.3550009902
289	0.3547096957
290	0.3542874747
291	0.35381004
292	0.3533087804
293	0.3529250917
294	0.3525028946
295	0.3519220607
296	0.3515754918
297	0.3510949856
298	0.3508675875
299	0.3503731402
300	0.3498733594
301	0.3494880995
302	0.3493139317
303	0.3490589797
304	0.3487614032
305	0.3483031915
306	0.3476755319
307	0.3473581578
308	0.3468990769
309	0.3467026945
310	0.346259373
311	0.345822126
312	0.3455724527
313	0.3450784467
314	0.3446900476
315	0.3444308459
316	0.3441142217
317	0.3436606834
318	0.3432229789
319	0.3428624283
320	0.3425936489
321	0.3421802089
322	0.3416960396
323	0.3413275915
324	0.3410159188
325	0.3406831017
326	0.3402465197
327	0.339980144
328	0.3397840204
329	0.3394041531
330	0.3391407633
331	0.3389421151
332	0.3386617537
333	0.3383381171
334	0.3378953268
335	0.3376062347
336	0.337254956
337	0.3369912883
338	0.3366786537
