iter	Passed	Remaining
0	1	1894
1	3	1829
2	5	1948
3	7	1915
4	9	1903
5	11	1859
6	12	1833
7	14	1838
8	16	1810
9	18	1788
10	19	1769
11	21	1749
12	22	1741
13	24	1743
14	26	1762
15	28	1757
16	30	1777
17	32	1791
18	35	1823
19	37	1829
20	39	1827
21	41	1822
22	43	1852
23	45	1846
24	47	1833
25	48	1821
26	50	1833
27	52	1830
28	54	1818
29	55	1805
30	58	1814
31	60	1822
32	62	1821
33	64	1820
34	65	1814
35	67	1807
36	69	1803
37	71	1807
38	73	1812
39	75	1813
40	77	1813
41	79	1813
42	81	1817
43	83	1814
44	85	1810
45	87	1813
46	89	1818
47	91	1811
48	93	1810
49	95	1806
50	96	1802
51	98	1797
52	100	1788
53	101	1784
54	104	1787
55	106	1790
56	108	1789
57	109	1785
58	111	1780
59	113	1775
60	115	1771
61	117	1772
62	119	1773
63	121	1774
64	123	1772
65	125	1772
66	127	1769
67	128	1762
68	130	1760
69	132	1760
70	134	1760
71	136	1757
72	138	1754
73	140	1753
74	142	1752
75	144	1756
76	146	1756
77	148	1751
78	150	1749
79	151	1747
80	153	1743
81	155	1739
82	157	1736
83	158	1733
84	161	1735
85	163	1733
86	164	1729
87	166	1724
88	168	1719
89	169	1715
90	171	1714
91	173	1709
92	175	1708
93	177	1706
94	178	1703
95	180	1703
96	182	1702
97	184	1697
98	186	1693
99	187	1689
100	189	1686
101	191	1683
102	192	1678
103	194	1673
104	196	1671
105	198	1673
106	201	1677
107	202	1676
108	204	1672
109	206	1668
110	207	1665
111	209	1662
112	211	1661
113	213	1660
114	215	1659
115	217	1659
116	220	1660
117	221	1656
118	223	1654
119	225	1656
120	228	1663
121	231	1664
122	233	1664
123	235	1661
124	237	1659
125	238	1657
126	240	1655
127	242	1651
128	244	1651
129	246	1651
130	248	1651
131	250	1648
132	252	1647
133	254	1645
134	256	1646
135	259	1648
136	261	1646
137	263	1645
138	265	1645
139	267	1642
140	269	1639
141	270	1636
142	273	1636
143	275	1635
144	277	1634
145	279	1633
146	281	1631
147	282	1628
148	284	1627
149	286	1624
150	288	1622
151	290	1621
152	292	1619
153	294	1616
154	296	1613
155	297	1611
156	299	1608
157	301	1606
158	304	1608
159	306	1606
160	307	1604
161	309	1603
162	311	1601
163	313	1597
164	315	1594
165	316	1592
166	319	1591
167	321	1589
168	322	1588
169	324	1586
170	326	1582
171	328	1580
172	330	1579
173	332	1576
174	333	1574
175	336	1573
176	338	1572
177	339	1569
178	341	1566
179	343	1562
180	344	1559
181	346	1557
182	348	1556
183	350	1553
184	351	1549
185	353	1546
186	355	1543
187	356	1540
188	358	1538
189	360	1536
190	362	1534
191	364	1533
192	366	1533
193	368	1531
194	370	1529
195	372	1529
196	375	1528
197	377	1527
198	379	1526
199	381	1525
200	383	1525
201	385	1524
202	388	1523
203	390	1522
204	392	1521
205	394	1520
206	397	1523
207	399	1521
208	401	1518
209	403	1516
210	404	1514
211	406	1512
212	408	1510
213	410	1507
214	412	1505
215	414	1504
216	416	1501
217	417	1498
218	419	1495
219	421	1493
220	422	1490
221	424	1487
222	426	1485
223	428	1483
224	430	1482
225	432	1481
226	435	1481
227	437	1480
228	439	1478
229	441	1477
230	443	1476
231	445	1475
232	448	1476
233	450	1473
234	451	1470
235	453	1468
236	455	1465
237	457	1463
238	459	1463
239	461	1461
240	463	1460
241	465	1458
242	467	1457
243	469	1455
244	471	1452
245	473	1450
246	475	1448
247	477	1446
248	479	1445
249	481	1443
250	483	1441
251	485	1440
252	487	1438
253	489	1437
254	491	1436
255	493	1435
256	495	1433
257	497	1431
258	499	1429
259	501	1428
260	504	1428
261	506	1427
262	508	1425
263	510	1423
264	512	1421
265	514	1420
266	516	1418
267	519	1417
268	522	1419
269	524	1418
270	526	1417
271	529	1415
272	531	1414
273	533	1413
274	550	1450
275	552	1448
276	554	1446
277	555	1443
278	557	1440
279	559	1438
280	561	1435
281	563	1434
282	565	1431
283	566	1429
284	569	1428
285	571	1427
286	573	1425
287	575	1423
288	577	1420
289	579	1418
290	581	1417
291	584	1417
292	586	1415
293	588	1414
294	591	1412
295	593	1411
296	595	1410
297	598	1410
298	601	1410
299	603	1408
